video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,like_ratio,comment_ratio
4du1KXBl4YU,17.14.11,Mehjabi Reveals Hina Khan Dirty Politics | Exclusive Interview | Bigg Boss  11,TellyMasala,24,2017-11-12T17:30:00.000Z,"Hina khan|""Hina khan bigg boss""|""Bigg boss 11""|""Big boss""|""Bigg boss""|""Bigg boss 11 eviction""|""Bb 11""|""Bigg boss season 11""|""Bigg boss 11 full episode""|""Tellymasala""|""Telly masala""|""Telly masala latest interview""|""Telly masala bigg boss""|""Mehjabi""|""siddiqui""|""mahjabi siddiqui interview""|""mehjabi reveals""|""hina khan bigg boss 11""|""bigg boss 11""|""telly masala""|""tellymasala bigg boss""|""telly masala latest interview""|""bigg boss full episode""",632747,4330,2183,2869,https://i.ytimg.com/vi/4du1KXBl4YU/default.jpg,False,False,False,0.684317744691006,150.92366678285117
zOOmEDwPJX0,17.14.11,Jannat (Full Song) Aatish - Latest Punjabi Song 2017 - New Punjabi Songs 2017 - WHM,White Hill Music,10,2017-11-11T12:02:09.000Z,"Aatish new punjabi song 2017|""latest punjabi songs 2017 Aatish""|""new punjabi songs 2017 Jannat""|""latest punjabi song 2017 Jannat""|""new songs 2017 Aatish""|""latest song 2017 Aatish""|""Aatish""|""punjabi songs 2017 Aatish""|""punjabi music videos Aatish""|""Jannat punjabi song 2017""|""new punjabi songs""|""latest punjabi songs""|""new songs""|""latest songs""|""songs 2017""|""punjabi""|""Aatish songs""|""Jannat by Aatish""|""punjabi song""|""whte hill""|""aatish taare""|""romantic songs punjabi""",2348107,32834,710,1743,https://i.ytimg.com/vi/zOOmEDwPJX0/default.jpg,False,False,False,1.3983178790404356,1883.7636259323006
Prb_osSVE0M,17.14.11,Renu Desai Gives Rating For Pawan kalyan As Husband | Open Heart With RK | ABN Telugu,ABN Telugu,25,2017-11-13T09:51:59.000Z,"Resnu desai|""actress renu desai""|""pawan kalyan wife renu desai""|""pawan kalyan ex-wife renu desai""|""ABN renu desai interview""|""renu desai open heart with RK""|""renu desai rates pawan kalyan""|""renu desai rates 10 for pawan""|""renu desai rates pawan kalyan as husband""|""renu desai interview""|""RK interview with renu desai""|""renu desai interview with RK""|""ABN""|""ABN Telugu""|""ABN News""|""ABN andhrajyothy""|""ABN andhrajyothi""|""renu desai open heart""|""renu commentson pawa kalayna""|""renu desai interivew""",156085,716,53,0,https://i.ytimg.com/vi/Prb_osSVE0M/default.jpg,True,False,False,0.458724412980107,inf
KHxdrECEsD0,17.14.11,Peehu Srivastav Performs On Daiya Yeh Main kahan Aa Phasi | The Voice India Kids | Episode 1,The Voice India Kids,24,2017-11-11T19:19:13.000Z,"the voice of india|""TVOI""|""the voice of india kids""|""audition""|""singers""|""singing talent""|""kids voice""|""kids singing""|""kids talent""|""Talpa media""|""AndTV""|""&TV""",472413,2611,250,174,https://i.ytimg.com/vi/KHxdrECEsD0/default.jpg,False,False,False,0.5526943585379741,1500.5747126436781
so0ccfs-psI,17.14.11,Rowi Na | Nadha Virender | Official Music Video | Latest Punjabi Songs 2017 | VS Records,VS RECORDS,10,2017-11-12T10:29:59.000Z,"rowi na|""nadha virender""|""prabh grewal""|""latest punjabi songs 2017""|""new punjabi songs 2017""|""best punjabi songs 2017""|""brand new punjabi songs""|""punjabi songs""|""punjabi""|""songs""|""new""|""latest""|""rowi""|""na""|""nadha""|""birender""|""parmish verma""|""parmish""|""punjabi sad songs""|""punjabi love songs""|""punjabi romantic songs""|""new punjabi sad song""|""sad song""|""best sad songs""|""best song of the week""",836006,24460,180,594,https://i.ytimg.com/vi/so0ccfs-psI/default.jpg,False,False,False,2.9258163218924262,4117.845117845118
7gShaSuK_PY,17.14.11,ஜெயலலிதாவின் உயில் சிக்கியது  அப்பல்லோ சி.டி.யை தேடிய  அதிகாரிகள் - சோதனையின் பின்னணி,Next Gen,22,2017-11-13T06:52:47.000Z,"nextgen|""sasikala""|""sasikala natarajan""|""aiadmk""|""tamil nadu""|""jayalalithaa""|""jayalalitha""|""tamil news""|""apollo hospital""|""sasikala pushpa""|""it raid""|""sasikala family""|""income tax raid""|""latest tamil news""|""latest news""|""politics""|""tamil news today""|""ops""|""tamilnadu""|""admk""|""youtube""|""news in tamil""|""tamil nadu cm""|""tamil""|""vivek""|""vivek jayaram""|""jayalalitha uyil""|""apollo cd it raid""",89531,238,59,18,https://i.ytimg.com/vi/7gShaSuK_PY/default.jpg,False,False,False,0.26582971261350813,1322.2222222222222
ep3SLMuRbvg,17.14.11,TYPES OF STUDENTS- | Elvish Yadav |,Elvish yadav,23,2017-11-13T11:26:02.000Z,"TYPES OF STUDENTS ELVISH YADAV|""elvish yadav""|""elvish yadav new video""|""elvish yadav latest video""|""elvish yadav vines""|""elvish yadav videos""|""students video""|""types of students in a class""|""omprakash new song""|""sot lagani hai""|""elvis yadav vines""",344545,25717,417,2870,https://i.ytimg.com/vi/ep3SLMuRbvg/default.jpg,False,False,False,7.464046786341407,896.062717770035
ePO5M5DE01I,17.14.11,Tiger Zinda Hai | Official Trailer | Salman Khan | Katrina Kaif,YRF,1,2017-11-07T06:01:50.000Z,"Tiger Zinda Hai Trailer|""Tiger Zinda Hai Official Trailer""|""Tiger Zinda Hai Teaser""|""Tiger Trailer""|""Trailer of Tiger Zinda Hai""|""Salman Khan Song""|""Salman Khan Movie Trailer""|""Bollywood Trailer""|""Hindi Trailer""|""Salman Khan Tiger Zinda Hai Trailer""|""Trailer 2017""|""Most Viewed Trailer""|""Official Trailer 2017""|""Salman Katrina Movie""|""Salman Khan Trailer 2017""|""2017 Bollywood Trailer""|""Official Trailer Tiger Zinda Hai""|""Latest Movie Trailer""|""Salman Khan""|""Katrina Kaif""|""Vishal and Shekhar""|""YRF""",35885754,829362,61195,101117,https://i.ytimg.com/vi/ePO5M5DE01I/default.jpg,False,False,False,2.311117665243985,820.200361956941
CLl1RbxDRAs,17.14.11,Meri Setting Karwado Prank - Bakchodi ki Hadd - TST comment Trolling,TroubleSeekerTeam,23,2017-11-12T13:16:38.000Z,"Prank Call|""Funny Reactions""|""Pranks In India 2017""|""comedy video""|""meri setting karade live""|""Bhai meri bhi setting karwa funny video""|""tst rahul""|""tst rahul prince""|""Pranks in India""|""Prank on Girls""|""girls in love""|""love""|""friendship""|""dost""|""relationship""|""tst latest video""|""pranks""|""pramk on girls""|""funny""|""TroubleSeekerTeam""|""prank on girls""|""best prank on girls""|""best girl pranks""|""girl pranks""|""tst girls prank""|""indian prank""|""language in india""|""indian pranks""|""best indian prank""|""comedy""",209599,14070,448,1105,https://i.ytimg.com/vi/CLl1RbxDRAs/default.jpg,False,False,False,6.712818286346786,1273.3031674208144
1ZAPwfrtAFY,17.14.11,The Trump Presidency: Last Week Tonight with John Oliver (HBO),LastWeekTonight,24,2017-11-13T07:30:00.000Z,"last week tonight trump presidency|""last week tonight donald trump""|""john oliver trump""|""donald trump""",2418783,97187,6146,12703,https://i.ytimg.com/vi/1ZAPwfrtAFY/default.jpg,False,False,False,4.018012364069038,765.0712430134614
